MSZoning,LotArea,LandContour,LotConfig,Neighborhood,BldgType,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,SalePrice
RL,17120,Lvl,Inside,ClearCr,1Fam,4,1959,1959,Gable,CompShg,WdShing,Plywood,0.0,3,CBlock,0,0,GasA,1,1120,468,0,2,0,3,7,1,680,0,0,59,134432
RL,7175,Lvl,Inside,SawyerW,TwnhsE,6,1984,1984,Gable,CompShg,Plywood,Plywood,0.0,3,CBlock,0,744,GasA,1,752,0,1,1,0,3,4,0,264,2,353,0,125000
RL,10634,Lvl,Inside,NAmes,1Fam,5,1953,1953,Gable,CompShg,MetalSd,MetalSd,0.0,3,PConc,0,608,GasA,1,1319,0,1,1,0,3,5,0,270,2,66,0,123000
RL,8200,Lvl,Inside,CollgCr,1Fam,7,2003,2004,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,847,847,GasA,1,847,1081,0,2,1,4,8,1,434,2,100,48,219500
RL,10020,Low,Inside,Edwards,1Fam,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,2,BrkTil,333,683,GasA,0,904,0,1,0,1,2,4,0,0,2,0,0,61000
RL,8846,Lvl,CulDSac,CollgCr,1Fam,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,572,870,GasA,1,914,0,0,1,0,3,5,0,576,2,0,0,148000
FV,11143,Lvl,Corner,Somerst,1Fam,8,2004,2005,Gable,CompShg,CemntBd,CmentBd,0.0,4,PConc,1580,1580,GasA,1,1580,886,0,3,0,4,8,1,610,2,159,214,340000
RL,11394,Lvl,Corner,StoneBr,1Fam,9,2010,2010,Hip,CompShg,VinylSd,VinylSd,350.0,4,PConc,411,1856,GasA,1,1856,0,1,1,1,5,8,1,834,2,113,0,394432
RL,8123,Lvl,Inside,Gilbert,1Fam,6,2000,2000,Gable,CompShg,VinylSd,VinylSd,16.0,3,PConc,982,982,GasA,1,1007,793,0,2,1,3,7,1,463,2,100,63,179000
RL,5000,Lvl,Inside,SWISU,1Fam,5,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,0.0,3,BrkTil,808,1026,GasA,1,1026,665,0,2,0,4,6,1,308,2,0,0,127000
FV,7200,Lvl,Inside,Somerst,1Fam,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,1293,1293,GasA,1,1301,0,1,2,0,4,5,1,572,2,216,121,187750
RL,9245,Lvl,Inside,CollgCr,1Fam,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,939,939,GasA,1,939,858,0,2,1,4,8,0,639,2,144,53,213500
RH,9000,Lvl,Corner,SawyerW,1Fam,6,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,BrkTil,784,784,GasA,0,784,0,0,1,0,3,5,0,360,0,0,0,76000
RL,53107,Low,Corner,ClearCr,1Fam,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,0.0,4,PConc,595,1580,GasA,1,1079,874,1,2,1,4,9,2,501,2,216,231,240000
RL,3182,Lvl,Inside,Blmngtn,TwnhsE,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,16.0,4,PConc,1232,1256,GasA,1,1269,0,0,2,0,4,6,1,430,2,146,20,192000
RL,8410,Lvl,FR2,Edwards,1Fam,5,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,0.0,3,PConc,658,658,GasA,1,658,526,0,1,0,3,8,0,0,0,0,151,81000
RL,7200,Lvl,Inside,Edwards,1Fam,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,255.0,3,CBlock,410,1041,GasA,1,1125,0,1,1,0,3,6,1,352,2,296,0,125000
RL,9382,Lvl,CulDSac,CollgCr,1Fam,7,1999,2000,Gable,CompShg,VinylSd,VinylSd,125.0,4,PConc,1468,1468,GasA,1,1479,0,0,2,0,4,6,0,577,2,120,25,191000
RL,12474,Lvl,Inside,NridgHt,1Fam,10,2007,2008,Gable,CompShg,VinylSd,VinylSd,272.0,5,PConc,402,1682,GasA,1,1742,590,1,2,1,5,9,1,846,2,196,134,426000
RL,8405,Lvl,Inside,Edwards,1Fam,5,1900,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,229,861,GasA,1,961,406,1,1,0,3,7,0,384,2,0,130,119000
RL,12209,Lvl,CulDSac,Mitchel,1Fam,6,2001,2002,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,114,804,GasA,1,804,1157,1,2,1,4,7,1,560,2,125,192,215000
RL,8339,Lvl,Inside,NAmes,1Fam,5,1959,1959,Gable,CompShg,MetalSd,MetalSd,0.0,3,Slab,0,0,GasA,1,882,0,0,1,0,3,5,0,294,2,0,0,106500
RL,7446,Lvl,Corner,BrkSide,1Fam,4,1941,1950,Gable,CompShg,WdShing,Wd Shng,0.0,3,CBlock,522,788,GasA,1,788,0,0,1,0,3,4,2,0,2,0,0,100000
RL,10134,Lvl,Inside,OldTown,1Fam,5,1940,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,735,735,GasA,1,735,299,0,1,0,3,5,0,240,2,0,39,109000
RL,9571,Lvl,Inside,Edwards,1Fam,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,405,1144,GasA,1,1144,0,1,1,0,3,6,0,596,2,44,0,129000
RL,7200,Low,Inside,CollgCr,1Fam,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,0.0,3,CBlock,117,894,GasA,1,894,0,0,1,0,3,6,0,600,2,215,0,123000
RL,7590,Lvl,Inside,NAmes,1Fam,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,288.0,3,CBlock,324,864,GasA,1,876,936,0,2,0,3,8,1,264,2,0,168,169500
RM,8967,Lvl,Corner,IDOTRR,1Fam,5,1920,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,961,961,GasA,1,1077,0,0,1,0,3,6,0,338,0,0,0,67000
FV,8125,Lvl,Inside,Somerst,1Fam,7,2006,2007,Gable,CompShg,CemntBd,CmentBd,100.0,4,PConc,280,1092,GasA,1,1112,438,1,2,0,4,7,0,438,2,0,168,241000
RL,14963,Lvl,Inside,Veenker,TwnhsE,8,1996,1996,Gable,CompShg,BrkFace,BrkFace,0.0,4,PConc,474,1260,GasA,1,1288,0,1,1,1,5,4,2,500,2,120,30,245500
RL,8767,Lvl,Inside,CollgCr,1Fam,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,1286,1310,GasA,1,1310,0,0,2,0,4,6,1,400,2,0,0,164990
RL,10200,Lvl,Inside,Sawyer,1Fam,5,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,PConc,672,672,GasA,1,672,0,0,1,0,3,4,0,240,0,168,0,108000
RL,12090,Lvl,Corner,NoRidge,1Fam,8,1998,1998,Hip,CompShg,VinylSd,VinylSd,650.0,4,PConc,1141,1141,GasA,1,1165,1098,0,2,1,4,10,1,420,2,144,123,258000
RL,10364,Lvl,Inside,Gilbert,1Fam,6,1995,1996,Gable,CompShg,MetalSd,MetalSd,0.0,3,PConc,806,806,GasA,1,806,766,0,2,1,3,7,1,373,2,0,40,168000
RL,9991,Lvl,Corner,Sawyer,1Fam,4,1976,1993,Gable,CompShg,Plywood,Plywood,0.0,3,CBlock,165,1281,GasA,1,1620,0,1,2,0,3,8,1,490,2,120,78,150000
RL,10480,Lvl,Inside,SWISU,1Fam,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,1064,1064,GasA,1,1166,0,0,1,0,3,6,0,240,2,0,0,115000
RL,15576,Lvl,Inside,Crawfor,1Fam,6,1915,1976,Gable,CompShg,Wd Sdng,Plywood,0.0,3,BrkTil,840,840,GasA,1,840,840,0,2,0,3,8,0,308,2,0,0,177000
RL,14154,Lvl,Corner,NridgHt,1Fam,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,350.0,4,PConc,1063,1063,GasA,1,1071,1101,0,2,1,4,9,1,947,2,192,62,280000
FV,10800,Lvl,Inside,Somerst,1Fam,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,100.0,4,PConc,245,1034,GasA,1,1050,1028,1,2,1,5,8,1,836,2,0,102,339750
RL,9571,Lvl,Inside,Edwards,1Fam,5,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,0.0,3,CBlock,1276,1276,GasA,1,1276,0,0,1,0,3,5,0,350,2,0,0,60000
RL,34650,Bnk,Inside,Gilbert,2fmCon,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,0,1056,GasA,0,1056,0,1,1,0,3,5,0,572,2,264,0,145000
FV,4403,Lvl,Inside,Somerst,1Fam,7,2009,2009,Gable,CompShg,MetalSd,MetalSd,432.0,5,PConc,892,1470,GasA,1,1478,0,1,2,1,4,7,1,484,2,0,144,222000
RM,8960,Lvl,Inside,OldTown,1Fam,5,1927,1950,Gable,CompShg,WdShing,Wd Shng,0.0,3,CBlock,1008,1008,GasA,1,1028,0,0,1,0,3,5,1,360,2,0,0,115000
RL,11228,Lvl,CulDSac,SawyerW,1Fam,7,1993,1993,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,499,1080,GasA,1,1080,1017,0,2,1,4,9,1,678,2,196,187,228000
RL,8899,Lvl,Inside,Gilbert,1Fam,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,1316,1340,GasA,1,1340,0,0,2,0,4,6,0,396,2,100,30,181134
RL,7844,Lvl,Inside,Sawyer,1Fam,6,1978,1978,Hip,CompShg,HdBoard,HdBoard,203.0,3,CBlock,463,672,GasA,1,672,728,0,1,1,3,6,1,440,2,0,0,149500
RL,22420,Lvl,Inside,Crawfor,1Fam,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,0.0,3,BrkTil,242,1370,GasW,0,1370,1254,1,2,1,3,10,1,864,0,0,0,239000
RL,8160,Lvl,Inside,Edwards,1Fam,5,1940,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,444,756,GasA,0,756,378,1,1,1,3,7,0,240,1,0,0,126000
RL,8450,Lvl,Inside,NAmes,1Fam,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,0.0,3,CBlock,281,1056,GasA,1,1056,0,1,1,0,3,6,1,304,2,0,85,142000
RM,7060,Lvl,Inside,Mitchel,Duplex,7,1997,1998,Gable,CompShg,VinylSd,VinylSd,200.0,3,PConc,35,1344,GasA,1,1344,0,2,2,0,3,8,0,784,2,0,0,206300
RL,16635,Lvl,FR2,NWAmes,1Fam,6,1977,2000,Gable,CompShg,CemntBd,CmentBd,126.0,4,CBlock,356,1602,GasA,1,1602,0,0,2,0,4,8,1,529,2,240,0,215000
RL,21750,HLS,Inside,Mitchel,1Fam,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,0.0,3,CBlock,988,988,GasA,1,988,0,0,1,0,3,4,0,520,0,0,0,113000
RL,9200,Lvl,Inside,NoRidge,1Fam,8,1998,1998,Gable,CompShg,VinylSd,VinylSd,473.0,4,PConc,484,1470,GasA,1,1470,1160,1,2,1,4,8,1,696,2,0,66,315000
RL,9000,Lvl,Inside,NAmes,1Fam,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,74.0,3,CBlock,580,1196,GasA,1,1196,0,1,1,0,3,6,1,297,2,0,44,139000
RM,3378,HLS,Inside,OldTown,1Fam,7,1946,1992,Gable,CompShg,HdBoard,HdBoard,0.0,3,CBlock,651,651,GasA,1,707,682,0,1,1,3,6,2,240,1,0,0,135000
RL,12800,Low,Inside,SawyerW,1Fam,7,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,145.0,4,PConc,0,1518,GasA,1,1644,0,1,2,0,4,5,1,569,2,80,0,275000
RL,8593,Lvl,Inside,NAmes,1Fam,4,1957,1957,Hip,CompShg,MetalSd,MetalSd,0.0,3,CBlock,619,907,GasA,1,907,0,0,1,0,3,5,0,352,2,0,0,109008
RL,6762,Lvl,Inside,CollgCr,1Fam,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,108.0,4,PConc,544,1208,GasA,1,1208,0,1,2,0,4,6,0,628,2,105,54,195400
RL,11457,Lvl,Corner,Timber,1Fam,6,1988,1988,Gable,CompShg,HdBoard,HdBoard,0.0,3,CBlock,387,1392,GasA,1,1412,0,1,2,0,4,6,1,576,2,0,0,175000
RM,1680,Lvl,Inside,BrDale,Twnhs,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,232.0,3,CBlock,96,483,GasA,1,483,504,0,1,1,3,4,0,264,2,0,0,85400
RM,5586,Bnk,Inside,OldTown,1Fam,6,1920,1998,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,901,901,GasA,1,1088,110,0,1,0,3,7,0,0,0,0,98,79900
RM,1920,Lvl,Inside,BrDale,TwnhsE,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,376.0,3,CBlock,294,765,GasA,1,765,600,1,1,1,3,6,0,440,2,240,36,122500
RL,10839,Lvl,Corner,Gilbert,1Fam,6,1997,1998,Gable,CompShg,VinylSd,VinylSd,0.0,3,PConc,926,926,GasA,1,926,678,0,2,1,3,7,1,470,2,0,36,181000
RM,1890,Lvl,Inside,MeadowV,Twnhs,4,1972,1972,Gable,CompShg,CemntBd,CmentBd,0.0,3,CBlock,135,630,GasA,1,630,0,1,1,0,3,3,0,0,2,88,0,81000
RL,10667,Lvl,CulDSac,CollgCr,1Fam,7,1996,1996,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,70,799,GasA,1,827,834,1,2,1,4,6,1,550,2,158,61,212000
RM,4400,Lvl,Inside,OldTown,1Fam,6,1920,1950,Gable,CompShg,Stucco,Stucco,0.0,3,BrkTil,648,648,GasA,1,734,384,0,1,0,3,6,0,440,2,0,0,116000
RM,6000,Lvl,Inside,BrkSide,1Fam,6,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,4,PConc,884,884,GasA,1,904,0,0,1,0,3,4,0,180,2,0,0,119000
RL,4280,Lvl,Inside,Crawfor,1Fam,5,1913,2002,Gable,CompShg,WdShing,Stucco,0.0,3,PConc,75,440,GasA,0,694,0,0,1,0,4,4,1,352,1,0,0,90350
RL,12354,Lvl,Corner,Edwards,1Fam,6,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,BrkTil,684,684,GasA,1,684,512,0,1,0,4,7,0,528,2,0,46,110000
RL,15431,Lvl,Inside,NridgHt,1Fam,10,2008,2008,Hip,CompShg,VinylSd,VinylSd,200.0,5,PConc,788,3094,GasA,1,2402,0,1,2,0,5,10,2,672,2,0,72,555000
RL,12108,Lvl,Inside,Edwards,Duplex,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,270.0,3,CBlock,1307,1440,GasA,0,1440,0,0,2,0,2,8,0,0,2,0,0,118000
RM,6240,Lvl,Inside,BrkSide,1Fam,5,1930,1992,Gable,CompShg,MetalSd,MetalSd,0.0,3,PConc,1078,1078,GasA,1,1128,445,0,2,0,3,8,1,360,1,0,0,162900
RL,3922,Lvl,Inside,Blmngtn,TwnhsE,7,2006,2007,Gable,CompShg,WdShing,Wd Shng,72.0,4,PConc,1258,1258,GasA,1,1258,0,0,2,0,4,6,1,648,2,144,16,172500
RL,8750,Lvl,Inside,CollgCr,1Fam,7,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,273,915,GasA,1,933,975,1,2,1,4,8,1,493,2,144,133,210000
RL,9855,Lvl,Corner,Edwards,1Fam,6,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,1436,1436,GasA,1,1689,0,0,1,0,3,7,1,480,2,0,0,127500
RL,16492,Lvl,Corner,NAmes,1Fam,6,1966,2002,Gable,CompShg,BrkFace,Plywood,0.0,4,CBlock,557,1517,GasA,1,1888,0,0,2,1,4,6,1,578,2,0,0,190000
RL,11214,Lvl,Corner,Gilbert,1Fam,7,1998,1999,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,930,930,GasA,1,956,930,0,2,1,4,10,1,431,2,89,0,199900
RM,8600,Bnk,Inside,IDOTRR,1Fam,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,780,780,GasA,1,780,596,0,2,0,3,7,1,198,0,0,0,119500
RM,6000,Lvl,Inside,OldTown,1Fam,3,1948,2002,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,318,649,GasA,1,679,504,0,1,1,3,6,0,308,2,0,176,120000
RM,5684,Lvl,Inside,OldTown,1Fam,6,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,3,BrkTil,813,813,GasA,1,813,0,0,1,0,4,5,0,270,0,0,113,110000
RL,70761,Low,Inside,ClearCr,1Fam,7,1975,1975,Gable,WdShngl,Plywood,Plywood,0.0,3,CBlock,878,1533,GasA,1,1533,0,1,2,0,4,5,2,576,2,200,54,280000
RL,9303,Lvl,Corner,Timber,1Fam,6,1996,1997,Hip,CompShg,VinylSd,VinylSd,42.0,4,PConc,130,872,GasA,1,888,868,1,2,1,3,7,0,422,2,144,122,204000
FV,9000,Lvl,Inside,Somerst,1Fam,8,2008,2008,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,768,768,GasA,1,786,804,0,2,1,4,6,0,676,2,0,30,210000
RL,9297,Lvl,Inside,Mitchel,Duplex,5,1976,1976,Gable,CompShg,Plywood,Plywood,0.0,3,CBlock,122,1728,GasA,1,1728,0,2,2,0,3,8,0,560,2,0,0,188000
RL,9600,Lvl,Inside,NWAmes,1Fam,7,1973,1973,Hip,CompShg,HdBoard,HdBoard,320.0,3,CBlock,326,1242,GasA,1,1242,0,0,1,1,3,6,1,528,2,0,0,175500
RM,4571,Lvl,Inside,OldTown,1Fam,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,0.0,3,BrkTil,624,624,GasA,0,624,720,0,1,0,3,7,0,513,2,0,0,98000
RL,53227,Low,CulDSac,ClearCr,1Fam,4,1954,1994,Flat,Tar&Grv,Plywood,Plywood,0.0,3,CBlock,248,1364,GasA,1,1663,0,1,1,0,4,6,2,529,2,224,137,256000
RM,5100,Lvl,Inside,OldTown,1Fam,8,1925,1996,Hip,CompShg,Stucco,Wd Shng,0.0,3,PConc,588,588,GasA,1,833,833,0,1,0,4,7,1,228,2,192,63,161000
RL,7015,Bnk,Corner,BrkSide,1Fam,5,1950,1950,Gable,CompShg,MetalSd,MetalSd,161.0,3,CBlock,524,709,GasA,1,979,224,1,1,0,4,5,1,352,2,0,0,110000
FV,8004,Lvl,Inside,Somerst,1Fam,8,2009,2009,Gable,CompShg,VinylSd,VinylSd,110.0,4,PConc,288,832,GasA,1,832,1103,1,2,1,3,8,0,552,2,0,150,263435
RL,7200,Lvl,Inside,SWISU,1Fam,7,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,4,PConc,0,560,GasA,1,575,560,1,1,0,4,6,0,576,2,256,0,155000
RL,8281,Lvl,Inside,Sawyer,1Fam,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,0,864,GasA,1,864,0,0,1,0,3,5,1,360,2,0,0,62383
RL,11988,HLS,Inside,Crawfor,1Fam,6,1934,1995,Hip,CompShg,Stucco,Stucco,0.0,3,CBlock,389,715,GasA,1,849,811,0,1,1,3,6,1,240,2,0,0,188700
RL,8430,HLS,Inside,CollgCr,1Fam,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,136.0,3,CBlock,424,1040,GasA,1,1040,0,0,2,0,3,5,0,0,2,0,0,124000
RM,3072,Lvl,Inside,Blmngtn,TwnhsE,7,2004,2004,Hip,CompShg,VinylSd,VinylSd,18.0,4,PConc,1375,1375,GasA,1,1414,0,0,2,0,4,6,1,398,2,144,20,178740
RL,10628,Lvl,Inside,NAmes,1Fam,7,1970,1970,Flat,Tar&Grv,Plywood,Plywood,0.0,3,CBlock,499,1277,GasA,1,1277,0,1,1,0,3,5,1,526,2,0,0,167000
RL,9480,Lvl,Inside,NAmes,1Fam,5,1942,1995,Gable,CompShg,MetalSd,MetalSd,224.0,3,CBlock,342,728,GasA,1,888,756,0,1,1,4,7,2,312,2,168,0,146500
RL,11428,Lvl,Inside,NridgHt,1Fam,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,248.0,4,PConc,1626,1626,GasA,1,1634,0,0,2,0,4,7,1,866,2,0,44,250000
RL,9291,Lvl,Corner,SawyerW,1Fam,6,1993,1993,Gable,CompShg,HdBoard,HdBoard,120.0,4,PConc,406,832,GasA,1,832,878,0,2,1,4,7,0,506,2,144,70,187000
RL,6820,Lvl,Corner,StoneBr,TwnhsE,8,1985,1985,Gable,CompShg,HdBoard,HdBoard,0.0,4,PConc,0,1488,GasA,1,1502,0,1,1,1,4,4,0,528,2,0,54,212000
RL,11952,Lvl,Inside,NWAmes,1Fam,7,1977,1977,Mansard,WdShake,WdShing,Plywood,0.0,3,CBlock,808,808,GasA,1,1161,808,0,2,1,3,8,1,534,2,0,0,190000
RM,3675,Lvl,Inside,Edwards,TwnhsE,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,80.0,3,PConc,88,547,GasA,1,1072,0,1,1,0,3,5,0,525,2,0,28,148000
RL,14977,Lvl,Inside,NridgHt,1Fam,8,2006,2007,Gable,CompShg,VinylSd,VinylSd,304.0,4,PConc,626,1976,GasA,1,1976,0,1,2,0,4,7,1,908,2,250,63,440000
RL,5330,Lvl,Inside,StoneBr,TwnhsE,8,2000,2000,Gable,CompShg,CemntBd,CmentBd,0.0,4,PConc,298,1494,GasA,1,1652,0,1,2,0,5,6,0,499,2,96,48,251000
RL,8480,Lvl,Corner,Sawyer,1Fam,5,1963,1963,Hip,CompShg,HdBoard,HdBoard,0.0,3,CBlock,340,970,GasA,1,970,0,1,1,0,3,5,0,624,2,0,24,132500
RL,13125,Lvl,Inside,CollgCr,1Fam,6,1997,1998,Gable,CompShg,VinylSd,VinylSd,215.0,3,PConc,484,1478,GasA,1,1493,0,1,2,0,4,7,1,508,2,140,39,208900
RL,13693,Lvl,Inside,NridgHt,1Fam,9,2006,2006,Hip,CompShg,VinylSd,VinylSd,772.0,5,PConc,2153,2153,GasA,1,2069,574,0,2,1,5,9,1,694,2,414,84,380000
RL,10637,Lvl,Inside,CollgCr,1Fam,8,2007,2008,Hip,CompShg,VinylSd,VinylSd,336.0,4,PConc,417,1705,GasA,1,1718,0,1,2,0,4,7,1,826,2,208,44,297000
RM,5925,Bnk,Inside,OldTown,1Fam,4,1937,2000,Hip,CompShg,Stucco,Stucco,435.0,3,BrkTil,739,907,GasA,1,1131,0,0,1,0,3,7,0,672,2,0,72,89471
RL,16033,Lvl,FR2,NridgHt,1Fam,9,2004,2005,Hip,CompShg,VinylSd,VinylSd,378.0,4,PConc,572,1833,GasA,1,1850,0,1,2,0,4,8,1,772,2,519,112,326000
RL,11846,HLS,Inside,NridgHt,1Fam,9,2003,2004,Hip,CompShg,VinylSd,VinylSd,562.0,4,PConc,225,1792,GasA,1,1792,0,1,2,0,5,6,1,874,2,206,49,374000
RM,2500,Lvl,Corner,OldTown,1Fam,7,1915,2005,Gable,CompShg,Stucco,Stucco,0.0,4,PConc,611,910,GasA,1,916,910,1,1,1,5,7,1,164,2,0,0,155000
RM,4500,Lvl,FR2,Mitchel,Twnhs,6,1998,1998,Hip,CompShg,VinylSd,VinylSd,116.0,3,PConc,319,1216,GasA,1,1216,0,1,2,0,3,5,0,402,2,0,125,164000
RL,7758,Lvl,Corner,Sawyer,1Fam,5,1962,2001,Gable,CompShg,HdBoard,Plywood,0.0,3,CBlock,411,999,GasA,1,999,0,1,1,0,4,6,0,264,2,0,132,132500
RL,9600,Lvl,Inside,NAmes,1Fam,5,1950,2007,Gable,CompShg,MetalSd,MetalSd,0.0,4,CBlock,506,1113,GasA,1,1113,0,0,1,0,4,5,1,264,2,0,80,147000
RL,10289,Lvl,Inside,NAmes,1Fam,5,1965,1965,Hip,CompShg,MetalSd,MetalSd,168.0,3,CBlock,237,1073,GasA,1,1073,0,1,1,1,3,6,0,515,2,0,0,156000
RL,12243,Lvl,Inside,NWAmes,1Fam,5,1971,1971,Gable,CompShg,Plywood,Plywood,0.0,3,CBlock,486,1484,GasA,1,1484,0,0,2,0,3,7,1,487,2,224,0,175000
RL,10800,Lvl,Corner,OldTown,2fmCon,5,1900,1970,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,290,954,GasA,0,1766,648,0,2,0,3,10,1,520,0,142,0,160000
RM,1526,Lvl,Inside,MeadowV,Twnhs,4,1970,2002,Gable,CompShg,CemntBd,CmentBd,0.0,3,CBlock,115,630,GasA,1,630,0,1,1,0,4,3,0,286,2,0,0,86000
RM,2665,Lvl,Inside,MeadowV,TwnhsE,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,3,PConc,264,264,GasA,1,616,688,0,1,1,3,4,1,336,2,141,24,115000
RL,9490,Lvl,Inside,NAmes,1Fam,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,238,806,GasA,1,958,620,1,1,0,2,5,2,240,2,0,0,133000
RL,15578,Lvl,Corner,Gilbert,1Fam,6,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,728,728,GasA,1,728,728,0,2,1,3,8,0,429,2,0,0,172785
RL,7931,Lvl,Inside,NAmes,1Fam,5,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,0.0,3,CBlock,363,1269,GasA,1,1269,0,0,1,1,3,6,1,308,2,0,0,155000
RM,5784,Lvl,Inside,OldTown,1Fam,5,1938,1996,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,190,190,GasA,1,886,0,0,1,0,3,4,0,273,2,144,20,91300
C (all),7879,Lvl,Inside,IDOTRR,1Fam,4,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,CBlock,225,720,GasA,0,720,0,0,1,0,3,4,0,0,0,0,523,34900
RL,12692,Lvl,Inside,NoRidge,1Fam,8,1992,1993,Hip,CompShg,BrkFace,BrkFace,0.0,4,PConc,1969,3200,GasA,1,3228,0,1,3,0,4,10,1,546,2,264,75,430000
RL,9120,Lvl,Inside,BrkSide,1Fam,7,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,PConc,697,1026,GasA,1,1133,687,1,2,0,3,8,0,240,0,0,100,184000
RL,7800,Lvl,Inside,Sawyer,1Fam,5,1967,2004,Hip,CompShg,HdBoard,HdBoard,89.0,3,PConc,414,864,GasA,1,899,0,0,1,0,4,5,0,288,2,64,0,130000
RL,7535,Lvl,Inside,NAmes,1Fam,5,1958,1985,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,522,912,GasA,1,912,0,0,1,0,3,5,0,297,2,12,285,120000
RM,1890,Lvl,Inside,BrDale,Twnhs,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,285.0,3,CBlock,316,672,GasA,1,672,546,0,1,1,3,7,0,264,2,144,28,113000
FV,9803,Lvl,Inside,Somerst,1Fam,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,0.0,4,PConc,466,866,GasA,1,866,902,0,2,1,4,7,0,603,2,0,108,226700
RL,9170,Lvl,Corner,Edwards,1Fam,5,1965,1965,Hip,CompShg,MetalSd,MetalSd,0.0,3,CBlock,420,1214,GasA,1,1214,0,1,1,0,3,6,0,461,2,0,0,140000
